Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1824.438	-2108.532	284.0936	1.568701	0.1949979	0.964897	0.0351031	2.63282
6	-1821.796	-2106.609	284.8131	1.529725	0.1873719	0.797813	0.202187	2.21868
12	-1839.315	-2123.72	284.4048	1.574525	0.1075939	0.912151	0.0878485	2.626922
18	-1819.393	-2103.173	283.7801	1.405709	0.1527995	0.912151	0.0878485	3.005665
24	-1822.97	-2104.614	281.6432	1.199643	0.1962463	0.912151	0.0878485	4.284078
30	-1837.564	-2120.128	282.5637	1.361518	0.1140376	0.914711	0.0852887	3.829283
36	-1811.424	-2093.959	282.5348	1.235182	0.1891173	0.884746	0.115254	3.767136
42	-1815.969	-2099.67	283.7009	1.151689	0.1891173	0.884746	0.115254	3.133746
48	-1816.313	-2097.589	281.2761	1.028341	0.1702823	0.98161	0.0183904	4.633308
54	-1824.775	-2106.435	281.6599	0.9917275	0.2177407	0.996831	0.00316871	4.356618
60	-1819.364	-2101.035	281.6714	1.159903	0.2476834	0.93456	0.0654395	4.208575
66	-1819.885	-2101.702	281.8172	1.161432	0.1953944	0.975637	0.0243635	4.208575
72	-1827.832	-2111.087	283.2546	1.25251	0.1591845	0.977006	0.0229945	3.394993
78	-1822.265	-2104.98	282.7149	1.25251	0.222453	0.815855	0.184145	3.596142
84	-1823.501	-2106.827	283.3262	1.25251	0.1907422	0.964712	0.0352878	3.292991
90	-1826.075	-2108.938	282.8622	1.25251	0.2362996	0.916897	0.0831027	3.488207
96	-1816.231	-2098.732	282.5008	1.387596	0.2163203	0.941494	0.0585059	3.652064
102	-1825.133	-2106.236	281.103	1.236737	0.1548849	0.928106	0.0718937	4.642487
108	-1832.614	-2114.568	281.9539	1.13415	0.1854004	0.945639	0.054361	4.163908
114	-1826.092	-2107.053	280.9608	1.090064	0.1295759	0.939839	0.0601615	4.854923
120	-1816.746	-2098.642	281.8961	1.278451	0.1696058	0.933773	0.0662266	4.143451
126	-1833.72	-2116.095	282.3757	1.151058	0.1696058	0.933773	0.0662266	3.942499
132	-1825.168	-2108.214	283.0467	1.210778	0.1408363	0.887244	0.112756	3.578208
138	-1834.332	-2116.116	281.7846	1.173532	0.168392	0.970352	0.0296481	4.268524
144	-1819.726	-2103.208	283.4826	1.26528	0.1778385	0.766644	0.233356	3.216954
150	-1823.856	-2107.432	283.5758	1.154553	0.2530706	0.903281	0.0967187	3.099022
156	-1828.245	-2112.779	284.5343	1.453833	0.1503247	0.911924	0.088076	2.520916
162	-1829.804	-2113.641	283.8377	1.212116	0.1742502	0.878213	0.121787	3.044139
168	-1840.523	-2124.148	283.6252	1.313201	0.1562809	0.864329	0.135671	3.146218
174	-1830.711	-2115.637	284.9264	1.430144	0.103562	0.95519	0.0448102	2.401883
180	-1839.908	-2124.889	284.9815	1.594343	0.1799725	0.892184	0.107816	2.081982
186	-1844.763	-2129.349	284.5863	1.533652	0.1534142	0.883438	0.116562	2.431576
192	-1837.745	-2122.751	285.0061	1.556585	0.1902767	0.925118	0.0748821	2.069445
198	-1823.232	-2107.533	284.3016	1.45658	0.1697955	0.845274	0.154726	2.622684
204	-1841.803	-2124.932	283.1294	1.17017	0.1388705	0.811218	0.188782	3.557923
210	-1824.767	-2107.319	282.5519	1.197753	0.1519687	0.811218	0.188782	3.848855
216	-1831.992	-2113.912	281.9194	1.154733	0.199585	0.810092	0.189908	4.147215
222	-1813.301	-2095.341	282.0401	0.8982306	0.221583	0.84032	0.15968	4.188123
228	-1823.33	-2104.401	281.0704	0.9592426	0.1487191	0.871671	0.128329	4.827838
234	-1833.281	-2116.136	282.8545	1.231596	0.1654961	0.914511	0.0854886	3.628067
240	-1833.807	-2117.848	284.0406	1.338491	0.1497434	0.932994	0.0670057	2.895745
246	-1834.434	-2118.121	283.6872	1.290478	0.1687751	0.837222	0.162778	3.097884
252	-1827.436	-2111.803	284.3668	1.371084	0.1726233	0.837222	0.162778	2.629512
258	-1819.195	-2102.861	283.6669	1.333513	0.1870206	0.864467	0.135533	3.049496
264	-1832.26	-2114.337	282.0771	1.333513	0.1112871	0.93306	0.0669398	4.129941
270	-1821.944	-2106.672	284.7283	1.649037	0.09901598	0.90788	0.09212	2.400858
276	-1814.859	-2099.935	285.0763	1.598897	0.218032	0.909589	0.0904109	1.939882
282	-1809.416	-2092.149	282.7322	1.300531	0.1711333	0.841386	0.158614	3.648224
288	-1812.734	-2096.163	283.429	1.300531	0.1944181	0.797654	0.202346	3.197218
294	-1820.419	-2103.823	283.4042	1.264492	0.1944181	0.871409	0.128591	3.233228
300	-1820.659	-2102.506	281.8461	1.142056	0.1685874	0.858241	0.141759	4.251198
306	-1822.357	-2104.929	282.5725	1.023768	0.1685874	0.939878	0.0601216	3.904602
312	-1830.973	-2115.255	284.282	1.526911	0.1654631	0.833135	0.166865	2.600151
318	-1821.626	-2105.636	284.0094	1.48179	0.09806541	0.952382	0.0476183	2.948722
324	-1815.027	-2098.835	283.8076	1.48179	0.1862738	0.952382	0.0476183	2.877059
330	-1824.11	-2107.883	283.7733	1.48179	0.1896513	0.837319	0.162681	2.891445
336	-1819.59	-2102.914	283.3235	1.195429	0.2058967	0.817699	0.182301	3.301421
342	-1824.67	-2107.777	283.1068	1.195429	0.1724383	0.83792	0.16208	3.489053
348	-1833.265	-2115.196	281.9309	1.14235	0.2312656	0.826173	0.173827	4.096114
354	-1836.781	-2120.35	283.5693	1.226781	0.1647138	0.840912	0.159088	3.213752
360	-1822.324	-2103.641	281.3171	1.013845	0.2011996	0.957304	0.0426961	4.564314
366	-1829.012	-2111.345	282.3334	1.075194	0.1932037	0.960002	0.0399976	3.967441
372	-1834.845	-2116.297	281.4524	1.074492	0.1928391	0.734554	0.265446	4.468288
378	-1833.417	-2114.109	280.6917	0.9767542	0.1084835	0.876342	0.123658	5.113565
384	-1834.681	-2115.961	281.2797	1.123812	0.1565471	0.874974	0.125026	4.60355
390	-1837.156	-2120.319	283.163	1.276723	0.1982462	0.804443	0.195557	3.361348
396	-1834.667	-2116.735	282.0678	1.095953	0.1883908	0.931173	0.0688275	4.115611
402	-1827.644	-2110.523	282.8789	1.152529	0.2285263	0.875785	0.124215	3.549089
408	-1827.038	-2108.724	281.6862	1.220873	0.2285263	0.896203	0.103797	4.194884
414	-1838.343	-2121.826	283.4829	1.186385	0.3845945	0.989442	0.0105575	2.957931
420	-1834.498	-2116.966	282.4672	1.07903	0.1584963	0.937729	0.062271	3.952591
426	-1840.16	-2122.254	282.0946	1.175137	0.2005099	0.948722	0.0512783	4.034225
432	-1838.831	-2124.016	285.1852	1.633949	0.1192964	0.564692	0.435308	2.062535
438	-1837.688	-2122.942	285.2534	1.593384	0.1193657	0.617301	0.382699	2.044103
444	-1826.779	-2111.599	284.8202	1.632385	0.1036846	0.859683	0.140317	2.340686
450	-1826.422	-2111.317	284.8951	1.632385	0.14727	0.883064	0.116936	2.185143
456	-1839.155	-2124.853	285.6973	1.623865	0.2386554	0.847531	0.152469	1.439058
462	-1833.844	-2118.793	284.9489	1.448914	0.2801778	0.883372	0.116628	2.016334
468	-1833.658	-2116.835	283.1764	1.168386	0.1480527	0.777964	0.222036	3.512414
474	-1804.15	-2086.734	282.5841	1.197693	0.1868062	0.926913	0.0730867	3.764445
480	-1800.126	-2083.417	283.2915	1.267061	0.1722124	0.893551	0.106449	3.339309
486	-1809.371	-2091.638	282.2672	1.060986	0.2112886	0.991813	0.00818727	3.982707
492	-1853.354	-2133.467	280.1131	1.049228	0.1512844	0.999004	0.000996256	5.304044
498	-1850.351	-2131.345	280.994	1.073798	0.19585	0.867219	0.132781	4.720737
504	-1827.374	-2109.598	282.2236	1.062568	0.247828	0.890361	0.109639	3.949163
510	-1815.985	-2098.053	282.0681	1.102333	0.1363382	0.960458	0.0395418	4.211417
516	-1827.069	-2110.592	283.523	1.2628	0.1609906	0.956426	0.0435742	3.227234
522	-1821.095	-2104.392	283.2968	1.164946	0.2798405	0.933989	0.0660109	3.218592
528	-1822.694	-2105.852	283.1579	1.250641	0.1617821	0.912798	0.0872021	3.447544
